Type of Crisis,release_year,title
Infrastructure,1979,"['Alien', 'Alien', 'Alien', 'Alien', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror']"
Infrastructure,1980,"['The Shining', 'The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Infrastructure,1981,"['Porno', 'Porno', 'The Evil Dead', 'The Evil Dead', 'Possession', 'Possession', 'Sadomania', 'Sadomania', 'An American Werewolf in London', 'An American Werewolf in London']"
Infrastructure,1982,"['Female Teacher: In Front of the Students', 'The Thing']"
Infrastructure,1984,"['A Nightmare on Elm Street', 'A Nightmare on Elm Street', 'Gremlins', 'Gremlins', 'Nun in Rope Hell', 'Nun in Rope Hell']"
Infrastructure,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Beautiful Teacher in Torture Hell', 'Beautiful Teacher in Torture Hell', 'Beautiful Teacher in Torture Hell', 'Beautiful Teacher in Torture Hell', 'Beautiful Teacher in Torture Hell', 'Daughters of Eve', 'Daughters of Eve', 'Daughters of Eve', 'Daughters of Eve', 'Daughters of Eve', 'Daughters of Eve']"
Infrastructure,1986,"['The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Fly', 'The Fly', 'The Fly', 'The Fly', 'The Fly']"
Infrastructure,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle"", ""Dragon Ball: Sleeping Princess in Devil's Castle"", ""Dragon Ball: Sleeping Princess in Devil's Castle"", ""Dragon Ball: Sleeping Princess in Devil's Castle"", ""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Infrastructure,1988,"[""Child's Play"", ""Child's Play""]"
Infrastructure,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Infrastructure,1991,"[""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3""]"
Infrastructure,1992,"[""Bram Stoker's Dracula"", 'Alien³', 'Erotic Ghost Story III', 'Dr. Lamb']"
Infrastructure,1994,"['A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'Interview with the Vampire', 'Interview with the Vampire', 'Interview with the Vampire', 'Interview with the Vampire', 'Interview with the Vampire']"
Infrastructure,1995,"['Species', 'Species']"
Infrastructure,1996,"['Scream', 'Scream', 'Scream', 'From Dusk Till Dawn', 'From Dusk Till Dawn', 'From Dusk Till Dawn']"
Infrastructure,1997,"['Alien Resurrection', 'Alien Resurrection', ""The Devil's Advocate"", ""The Devil's Advocate"", 'Scream 2', 'Scream 2', 'I Know What You Did Last Summer', 'I Know What You Did Last Summer', 'Anaconda', 'Anaconda']"
Infrastructure,1998,"['Blade', 'Bride of Chucky', 'The Faculty']"
Infrastructure,1999,['The Blair Witch Project']
Infrastructure,2000,"['Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3']"
Infrastructure,2002,"['28 Days Later', '28 Days Later', '28 Days Later', '28 Days Later']"
Infrastructure,2003,"['Final Destination 2', 'Final Destination 2', 'Final Destination 2', 'Final Destination 2', 'Final Destination 2', 'Final Destination 2', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre']"
Infrastructure,2005,"['Constantine', 'Constantine', 'Constantine']"
Infrastructure,2006,"['Slaughtered Vomit Dolls', 'Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'The Hills Have Eyes', 'Final Destination 3', 'Final Destination 3']"
Infrastructure,2007,"['Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem']"
Infrastructure,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
Infrastructure,2010,['Splice']
Infrastructure,2016,"['Train to Busan', 'The Conjuring 2']"
Infrastructure,2019,"['It Chapter Two', 'Ready or Not', 'Midsommar']"
Ireland,1960,"['Psycho', 'Peeping Tom', 'Village of the Damned', 'The Brides of Dracula', '13 Ghosts', 'Eyes Without a Face']"
Ireland,1980,"['The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Ireland,1994,"['A Chinese Torture Chamber Story', 'Interview with the Vampire']"
Ireland,1996,"['Scream', 'From Dusk Till Dawn']"
Ireland,1998,"['Blade', 'Blade', 'Blade', 'Bride of Chucky', 'Bride of Chucky', 'Bride of Chucky', 'The Faculty', 'The Faculty', 'The Faculty']"
Ireland,2011,"['Terrifier', 'Thriller Night']"
Journailism,2000,"['Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3']"
Journailism,2003,"['Final Destination 2', 'Wrong Turn', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre']"
Journailism,2004,"['Van Helsing', 'Van Helsing', 'Saw', 'Saw', 'Dawn of the Dead', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead', 'Shaun of the Dead']"
Journailism,2005,['Constantine']
Journailism,2006,"['Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'Final Destination 3']"
Journailism,2007,"['Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem']"
Legal,1962,"['What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?']"
Legal,1963,"['The Birds', 'The Day of the Triffids']"
Legal,1964,"['Onibaba', 'Onibaba', 'Onibaba', 'Onibaba']"
Legal,1965,"['Planet of the Vampires', 'Planet of the Vampires', 'Planet of the Vampires', 'Repulsion', 'Repulsion', 'Repulsion']"
Legal,1966,"['Munster, Go Home!', 'Munster, Go Home!', 'Munster, Go Home!', 'Munster, Go Home!']"
Legal,1967,"['The Fearless Vampire Killers', 'The Fearless Vampire Killers', 'The Fearless Vampire Killers', 'Wait Until Dark', 'Wait Until Dark', 'Wait Until Dark', 'Viy', 'Viy', 'Viy']"
Legal,1969,['Marquis de Sade: Justine']
Legal,1976,"['Rape!', 'Carrie', 'Salò, or the 120 Days of Sodom']"
Legal,1978,"['Halloween', 'Dawn of the Dead', 'Day of the Woman', 'Damien: Omen II']"
Legal,1980,"['The Shining', 'Friday the 13th', 'Cannibal Holocaust']"
Legal,1981,"['Porno', 'The Evil Dead', 'Possession', 'Sadomania', 'An American Werewolf in London']"
Legal,1986,"['The Texas Chainsaw Massacre 2', 'The Fly']"
Legal,1990,['Erotic Ghost Story']
Legal,1994,"['A Chinese Torture Chamber Story', 'Interview with the Vampire']"
Legal,2002,['28 Days Later']
Legal,2018,"['Terrifier', 'A Quiet Place', 'Hereditary', 'The Meg']"
Legal,2019,"['It Chapter Two', 'Ready or Not', 'Midsommar']"
Middle East,1960,"['Psycho', 'Peeping Tom', 'Village of the Damned', 'The Brides of Dracula', '13 Ghosts', 'Eyes Without a Face']"
Middle East,1967,"['The Fearless Vampire Killers', 'Wait Until Dark', 'Viy']"
Middle East,1968,"[""Rosemary's Baby"", 'Night of the Living Dead', ""Shogun's Joy of Torture""]"
Middle East,1969,"['Marquis de Sade: Justine', 'Marquis de Sade: Justine']"
Middle East,1973,['The Exorcist']
Middle East,1975,"['Jaws', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show']"
Middle East,1977,"['Exorcist II: The Heretic', 'Suspiria', 'Call of the Blonde Goddess', 'Emanuelle and the Last Cannibals']"
Middle East,1978,"['Halloween', 'Dawn of the Dead', 'Day of the Woman', 'Damien: Omen II']"
Middle East,1979,"['Alien', 'Alien', 'Alien', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror']"
Middle East,1980,"['The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Middle East,1982,"['Female Teacher: In Front of the Students', 'The Thing']"
Middle East,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Daughters of Eve']"
Middle East,1986,"['The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Fly', 'The Fly', 'The Fly']"
Middle East,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Middle East,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Middle East,1991,"[""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3""]"
Middle East,1992,"[""Bram Stoker's Dracula"", 'Alien³', 'Erotic Ghost Story III', 'Dr. Lamb']"
Middle East,1994,"['A Chinese Torture Chamber Story', 'Interview with the Vampire']"
Middle East,1995,['Species']
Middle East,1996,"['Scream', 'Scream', 'From Dusk Till Dawn', 'From Dusk Till Dawn']"
Middle East,1998,"['Blade', 'Bride of Chucky', 'The Faculty']"
Middle East,1999,['The Blair Witch Project']
Middle East,2000,"['Final Destination', 'Final Destination', 'Final Destination', 'Scream 3', 'Scream 3', 'Scream 3']"
Middle East,2002,"['28 Days Later', '28 Days Later']"
Middle East,2003,"['Final Destination 2', 'Final Destination 2', 'Final Destination 2', 'Final Destination 2', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre']"
Middle East,2004,"['Van Helsing', 'Van Helsing', 'Saw', 'Saw', 'Dawn of the Dead', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead', 'Shaun of the Dead']"
Middle East,2005,"['Constantine', 'Constantine']"
Middle East,2006,"['Slaughtered Vomit Dolls', 'Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'The Hills Have Eyes', 'Final Destination 3', 'Final Destination 3']"
Middle East,2007,"['Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem']"
Middle East,2010,['Splice']
Middle East,2011,"['Terrifier', 'Terrifier', 'Thriller Night', 'Thriller Night']"
Middle East,2012,"['Wrong Turn 5: Bloodlines', 'Wrong Turn 5: Bloodlines']"
Middle East,2013,"['The Conjuring', 'World War Z', ""All Hallows' Eve""]"
Middle East,2015,"['Krampus', 'Scouts Guide to the Zombie Apocalypse']"
Middle East,2017,"['Alien: Covenant', 'Alien: Covenant', 'Life', 'Life']"
Middle East,2019,"['It Chapter Two', 'Ready or Not', 'Midsommar']"
NASA,1962,['What Ever Happened to Baby Jane?']
NASA,1968,"[""Rosemary's Baby"", 'Night of the Living Dead', ""Shogun's Joy of Torture""]"
NASA,1969,['Marquis de Sade: Justine']
NASA,1972,['The Case of the Bloody Iris']
NASA,1973,['The Exorcist']
NASA,1975,"['Jaws', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show']"
NASA,1977,"['Exorcist II: The Heretic', 'Suspiria', 'Call of the Blonde Goddess', 'Emanuelle and the Last Cannibals']"
NASA,1981,"['Porno', 'Porno', 'The Evil Dead', 'The Evil Dead', 'Possession', 'Possession', 'Sadomania', 'Sadomania', 'An American Werewolf in London', 'An American Werewolf in London']"
NASA,1982,"['Female Teacher: In Front of the Students', 'The Thing']"
NASA,1986,"['The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Fly', 'The Fly', 'The Fly']"
NASA,1988,"[""Child's Play""]"
NASA,1990,['Erotic Ghost Story']
NASA,2000,"['Final Destination', 'Scream 3']"
NASA,2003,"['Final Destination 2', 'Wrong Turn', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre']"
NASA,2004,"['Van Helsing', 'Van Helsing', 'Van Helsing', 'Saw', 'Saw', 'Saw', 'Dawn of the Dead', 'Dawn of the Dead', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead', 'Shaun of the Dead', 'Shaun of the Dead']"
NASA,2006,"['Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'Final Destination 3']"
NASA,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
NASA,2011,"['Terrifier', 'Thriller Night']"
NASA,2019,"['It Chapter Two', 'It Chapter Two', 'Ready or Not', 'Ready or Not', 'Midsommar', 'Midsommar']"
Natural Disaster,1960,"['Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face']"
Natural Disaster,1963,"['The Birds', 'The Day of the Triffids']"
Natural Disaster,1964,['Onibaba']
Natural Disaster,1965,"['Planet of the Vampires', 'Repulsion']"
Natural Disaster,1969,"['Marquis de Sade: Justine', 'Marquis de Sade: Justine']"
Natural Disaster,1972,['The Case of the Bloody Iris']
Natural Disaster,1974,"['The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'Black Christmas', 'Black Christmas', 'Black Christmas', 'Black Christmas']"
Natural Disaster,1975,"['Jaws', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show']"
Natural Disaster,1976,"['Rape!', 'Rape!', 'Rape!', 'Carrie', 'Carrie', 'Carrie', 'Salò, or the 120 Days of Sodom', 'Salò, or the 120 Days of Sodom', 'Salò, or the 120 Days of Sodom']"
Natural Disaster,1979,"['Alien', 'The Amityville Horror']"
Natural Disaster,1980,"['The Shining', 'The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Natural Disaster,1981,"['Porno', 'The Evil Dead', 'Possession', 'Sadomania', 'An American Werewolf in London']"
Natural Disaster,1982,"['Female Teacher: In Front of the Students', 'The Thing']"
Natural Disaster,1988,"[""Child's Play"", ""Child's Play""]"
Natural Disaster,1990,"['Erotic Ghost Story', 'Erotic Ghost Story']"
Natural Disaster,1991,"[""Child's Play 3""]"
Natural Disaster,1992,"[""Bram Stoker's Dracula"", ""Bram Stoker's Dracula"", ""Bram Stoker's Dracula"", ""Bram Stoker's Dracula"", 'Alien³', 'Alien³', 'Alien³', 'Alien³', 'Erotic Ghost Story III', 'Erotic Ghost Story III', 'Erotic Ghost Story III', 'Erotic Ghost Story III', 'Dr. Lamb', 'Dr. Lamb', 'Dr. Lamb', 'Dr. Lamb']"
Natural Disaster,1994,"['A Chinese Torture Chamber Story', 'Interview with the Vampire']"
Natural Disaster,1995,"['Species', 'Species']"
Natural Disaster,1996,"['Scream', 'From Dusk Till Dawn']"
Natural Disaster,1997,"['Alien Resurrection', ""The Devil's Advocate"", 'Scream 2', 'I Know What You Did Last Summer', 'Anaconda']"
Natural Disaster,1999,"['The Blair Witch Project', 'The Blair Witch Project']"
Natural Disaster,2003,"['Final Destination 2', 'Final Destination 2', 'Wrong Turn', 'Wrong Turn', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre']"
Natural Disaster,2004,"['Van Helsing', 'Van Helsing', 'Saw', 'Saw', 'Dawn of the Dead', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead', 'Shaun of the Dead']"
Natural Disaster,2005,"['Constantine', 'Constantine', 'Constantine', 'Constantine', 'Constantine']"
Natural Disaster,2006,"['Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'Final Destination 3']"
Natural Disaster,2007,"['Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem']"
Natural Disaster,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
Natural Disaster,2011,"['Terrifier', 'Terrifier', 'Terrifier', 'Thriller Night', 'Thriller Night', 'Thriller Night']"
Natural Disaster,2012,['Wrong Turn 5: Bloodlines']
Natural Disaster,2013,"['The Conjuring', 'World War Z', ""All Hallows' Eve""]"
Natural Disaster,2017,"['Alien: Covenant', 'Alien: Covenant', 'Alien: Covenant', 'Life', 'Life', 'Life']"
Natural Disaster,2019,"['It Chapter Two', 'Ready or Not', 'Midsommar']"
Nuclear,1960,"['Psycho', 'Peeping Tom', 'Village of the Damned', 'The Brides of Dracula', '13 Ghosts', 'Eyes Without a Face']"
Nuclear,1962,"['What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?']"
Nuclear,1963,"['The Birds', 'The Day of the Triffids']"
Nuclear,1964,['Onibaba']
Nuclear,1968,"[""Rosemary's Baby"", 'Night of the Living Dead', ""Shogun's Joy of Torture""]"
Nuclear,1972,['The Case of the Bloody Iris']
Nuclear,1979,"['Alien', 'The Amityville Horror']"
Nuclear,1980,"['The Shining', 'Friday the 13th', 'Cannibal Holocaust']"
Nuclear,1981,"['Porno', 'The Evil Dead', 'Possession', 'Sadomania', 'An American Werewolf in London']"
Nuclear,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Nuclear,1988,"[""Child's Play""]"
Nuclear,2003,"['Final Destination 2', 'Wrong Turn', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre']"
Nuclear,2005,['Constantine']
Nuclear,2007,"['Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem']"
Nuclear,2009,"['The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead']"
Nuclear,2017,"['Alien: Covenant', 'Life']"
Nuclear,2019,"['It Chapter Two', 'Ready or Not', 'Midsommar']"
