Type of Crisis,release_year,title
Politics,1960,"['Psycho', 'Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face']"
Politics,1963,"['The Birds', 'The Birds', 'The Day of the Triffids', 'The Day of the Triffids']"
Politics,1964,"['Onibaba', 'Onibaba', 'Onibaba']"
Politics,1965,"['Planet of the Vampires', 'Repulsion']"
Politics,1968,"[""Rosemary's Baby"", ""Rosemary's Baby"", ""Rosemary's Baby"", ""Rosemary's Baby"", ""Rosemary's Baby"", 'Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture""]"
Politics,1969,"['Marquis de Sade: Justine', 'Marquis de Sade: Justine', 'Marquis de Sade: Justine']"
Politics,1972,"['The Case of the Bloody Iris', 'The Case of the Bloody Iris']"
Politics,1973,"['The Exorcist', 'The Exorcist', 'The Exorcist', 'The Exorcist', 'The Exorcist']"
Politics,1974,"['The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'Black Christmas', 'Black Christmas', 'Black Christmas', 'Black Christmas', 'Black Christmas', 'Black Christmas']"
Politics,1975,"['Jaws', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show']"
Politics,1976,"['Rape!', 'Carrie', 'Salò, or the 120 Days of Sodom']"
Politics,1977,"['Exorcist II: The Heretic', 'Suspiria', 'Call of the Blonde Goddess', 'Emanuelle and the Last Cannibals']"
Politics,1980,"['The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Politics,1981,"['Porno', 'Porno', 'The Evil Dead', 'The Evil Dead', 'Possession', 'Possession', 'Sadomania', 'Sadomania', 'An American Werewolf in London', 'An American Werewolf in London']"
Politics,1984,"['A Nightmare on Elm Street', 'Gremlins', 'Nun in Rope Hell']"
Politics,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Daughters of Eve']"
Politics,1988,"[""Child's Play""]"
Politics,1992,"[""Bram Stoker's Dracula"", 'Alien³', 'Erotic Ghost Story III', 'Dr. Lamb']"
Politics,1996,"['Scream', 'From Dusk Till Dawn']"
Politics,1997,"['Alien Resurrection', ""The Devil's Advocate"", 'Scream 2', 'I Know What You Did Last Summer', 'Anaconda']"
Politics,1998,"['Blade', 'Blade', 'Blade', 'Bride of Chucky', 'Bride of Chucky', 'Bride of Chucky', 'The Faculty', 'The Faculty', 'The Faculty']"
Politics,2000,"['Final Destination', 'Final Destination', 'Final Destination', 'Scream 3', 'Scream 3', 'Scream 3']"
Politics,2003,"['Final Destination 2', 'Final Destination 2', 'Wrong Turn', 'Wrong Turn', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre']"
Politics,2004,"['Van Helsing', 'Van Helsing', 'Saw', 'Saw', 'Dawn of the Dead', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead', 'Shaun of the Dead']"
Politics,2005,['Constantine']
Politics,2006,"['Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'Final Destination 3']"
Politics,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
Politics,2010,['Splice']
Politics,2012,['Wrong Turn 5: Bloodlines']
Politics,2013,"['The Conjuring', 'World War Z', ""All Hallows' Eve""]"
Politics,2016,"['Train to Busan', 'The Conjuring 2']"
Politics,2017,"['Alien: Covenant', 'Alien: Covenant', 'Life', 'Life']"
Politics,2018,"['Terrifier', 'A Quiet Place', 'Hereditary', 'The Meg']"
Politics,2019,"['It Chapter Two', 'It Chapter Two', 'It Chapter Two', 'It Chapter Two', 'Ready or Not', 'Ready or Not', 'Ready or Not', 'Ready or Not', 'Midsommar', 'Midsommar', 'Midsommar', 'Midsommar']"
Religion,1963,"['The Birds', 'The Day of the Triffids']"
Religion,1995,['Species']
Religion,2000,"['Final Destination', 'Final Destination', 'Scream 3', 'Scream 3']"
Religion,2004,"['Van Helsing', 'Saw', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead']"
Religion,2005,['Constantine']
Religion,2006,"['Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'Final Destination 3']"
Religion,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
Science  ,1960,"['Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face']"
Science  ,1963,"['The Birds', 'The Day of the Triffids']"
Science  ,1964,['Onibaba']
Science  ,1965,"['Planet of the Vampires', 'Repulsion']"
Science  ,1967,"['The Fearless Vampire Killers', 'The Fearless Vampire Killers', 'Wait Until Dark', 'Wait Until Dark', 'Viy', 'Viy']"
Science  ,1973,"['The Exorcist', 'The Exorcist', 'The Exorcist']"
Science  ,1974,"['The Texas Chain Saw Massacre', 'Black Christmas']"
Science  ,1977,"['Exorcist II: The Heretic', 'Exorcist II: The Heretic', 'Suspiria', 'Suspiria', 'Call of the Blonde Goddess', 'Call of the Blonde Goddess', 'Emanuelle and the Last Cannibals', 'Emanuelle and the Last Cannibals']"
Science  ,1978,"['Halloween', 'Dawn of the Dead', 'Day of the Woman', 'Damien: Omen II']"
Science  ,1980,"['The Shining', 'Friday the 13th', 'Cannibal Holocaust']"
Science  ,1986,"['The Texas Chainsaw Massacre 2', 'The Fly']"
Science  ,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Science  ,1991,"[""Child's Play 3""]"
Science  ,1992,"[""Bram Stoker's Dracula"", 'Alien³', 'Erotic Ghost Story III', 'Dr. Lamb']"
Science  ,1995,['Species']
Science  ,1996,"['Scream', 'From Dusk Till Dawn']"
Science  ,1997,"['Alien Resurrection', 'Alien Resurrection', ""The Devil's Advocate"", ""The Devil's Advocate"", 'Scream 2', 'Scream 2', 'I Know What You Did Last Summer', 'I Know What You Did Last Summer', 'Anaconda', 'Anaconda']"
Science  ,2000,"['Final Destination', 'Final Destination', 'Scream 3', 'Scream 3']"
Science  ,2002,['28 Days Later']
Science  ,2003,"['Final Destination 2', 'Final Destination 2', 'Final Destination 2', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre']"
Science  ,2005,"['Constantine', 'Constantine', 'Constantine']"
Science  ,2006,"['Slaughtered Vomit Dolls', 'Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'The Hills Have Eyes', 'Final Destination 3', 'Final Destination 3']"
Science  ,2007,"['Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem']"
Science  ,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
Science  ,2019,"['It Chapter Two', 'It Chapter Two', 'Ready or Not', 'Ready or Not', 'Midsommar', 'Midsommar']"
South America,1960,"['Psycho', 'Peeping Tom', 'Village of the Damned', 'The Brides of Dracula', '13 Ghosts', 'Eyes Without a Face']"
South America,1964,"['Onibaba', 'Onibaba']"
South America,1968,"[""Rosemary's Baby"", ""Rosemary's Baby"", 'Night of the Living Dead', 'Night of the Living Dead', ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture""]"
South America,1973,"['The Exorcist', 'The Exorcist']"
South America,1976,"['Rape!', 'Rape!', 'Carrie', 'Carrie', 'Salò, or the 120 Days of Sodom', 'Salò, or the 120 Days of Sodom']"
South America,1979,"['Alien', 'Alien', 'Alien', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror']"
South America,1980,"['The Shining', 'The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust']"
South America,1981,"['Porno', 'The Evil Dead', 'Possession', 'Sadomania', 'An American Werewolf in London']"
South America,1990,"['Erotic Ghost Story', 'Erotic Ghost Story']"
South America,1992,"[""Bram Stoker's Dracula"", 'Alien³', 'Erotic Ghost Story III', 'Dr. Lamb']"
South America,1994,"['A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'Interview with the Vampire', 'Interview with the Vampire']"
South America,2002,"['28 Days Later', '28 Days Later']"
South America,2009,"['The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead']"
South America,2019,"['It Chapter Two', 'Ready or Not', 'Midsommar']"
Sports,1960,"['Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face']"
Sports,1964,"['Onibaba', 'Onibaba']"
Sports,1967,"['The Fearless Vampire Killers', 'Wait Until Dark', 'Viy']"
Sports,1968,"[""Rosemary's Baby"", ""Rosemary's Baby"", 'Night of the Living Dead', 'Night of the Living Dead', ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture""]"
Sports,1969,['Marquis de Sade: Justine']
Sports,1972,"['The Case of the Bloody Iris', 'The Case of the Bloody Iris']"
Sports,1974,"['The Texas Chain Saw Massacre', 'Black Christmas']"
Sports,1980,"['The Shining', 'The Shining', 'The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Sports,1984,"['A Nightmare on Elm Street', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street', 'Gremlins', 'Gremlins', 'Gremlins', 'Nun in Rope Hell', 'Nun in Rope Hell', 'Nun in Rope Hell']"
Sports,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Daughters of Eve']"
Sports,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Sports,1988,"[""Child's Play"", ""Child's Play""]"
Sports,1991,"[""Child's Play 3""]"
Sports,1992,"[""Bram Stoker's Dracula"", ""Bram Stoker's Dracula"", 'Alien³', 'Alien³', 'Erotic Ghost Story III', 'Erotic Ghost Story III', 'Dr. Lamb', 'Dr. Lamb']"
Sports,1994,"['A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'Interview with the Vampire', 'Interview with the Vampire', 'Interview with the Vampire']"
Sports,1996,"['Scream', 'From Dusk Till Dawn']"
Sports,2000,"['Final Destination', 'Scream 3']"
Technology,1960,"['Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face']"
Technology,1962,"['What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?']"
Technology,1963,"['The Birds', 'The Birds', 'The Birds', 'The Birds', 'The Birds', 'The Day of the Triffids', 'The Day of the Triffids', 'The Day of the Triffids', 'The Day of the Triffids', 'The Day of the Triffids']"
Technology,1964,"['Onibaba', 'Onibaba', 'Onibaba', 'Onibaba', 'Onibaba', 'Onibaba', 'Onibaba']"
Technology,1967,"['The Fearless Vampire Killers', 'The Fearless Vampire Killers', 'Wait Until Dark', 'Wait Until Dark', 'Viy', 'Viy']"
Technology,1968,"[""Rosemary's Baby"", ""Rosemary's Baby"", 'Night of the Living Dead', 'Night of the Living Dead', ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture""]"
Technology,1969,"['Marquis de Sade: Justine', 'Marquis de Sade: Justine']"
Technology,1972,"['The Case of the Bloody Iris', 'The Case of the Bloody Iris']"
Technology,1973,"['The Exorcist', 'The Exorcist', 'The Exorcist']"
Technology,1974,"['The Texas Chain Saw Massacre', 'Black Christmas']"
Technology,1976,"['Rape!', 'Rape!', 'Rape!', 'Rape!', 'Carrie', 'Carrie', 'Carrie', 'Carrie', 'Salò, or the 120 Days of Sodom', 'Salò, or the 120 Days of Sodom', 'Salò, or the 120 Days of Sodom', 'Salò, or the 120 Days of Sodom']"
Technology,1977,"['Exorcist II: The Heretic', 'Exorcist II: The Heretic', 'Exorcist II: The Heretic', 'Suspiria', 'Suspiria', 'Suspiria', 'Call of the Blonde Goddess', 'Call of the Blonde Goddess', 'Call of the Blonde Goddess', 'Emanuelle and the Last Cannibals', 'Emanuelle and the Last Cannibals', 'Emanuelle and the Last Cannibals']"
Technology,1978,"['Halloween', 'Halloween', 'Dawn of the Dead', 'Dawn of the Dead', 'Day of the Woman', 'Day of the Woman', 'Damien: Omen II', 'Damien: Omen II']"
Technology,1979,"['Alien', 'The Amityville Horror']"
Technology,1980,"['The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Technology,1981,"['Porno', 'Porno', 'The Evil Dead', 'The Evil Dead', 'Possession', 'Possession', 'Sadomania', 'Sadomania', 'An American Werewolf in London', 'An American Werewolf in London']"
Technology,1982,"['Female Teacher: In Front of the Students', 'Female Teacher: In Front of the Students', 'The Thing', 'The Thing']"
Technology,1984,"['A Nightmare on Elm Street', 'Gremlins', 'Nun in Rope Hell']"
Technology,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Daughters of Eve']"
Technology,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Technology,1991,"[""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3""]"
Technology,1992,"[""Bram Stoker's Dracula"", 'Alien³', 'Erotic Ghost Story III', 'Dr. Lamb']"
Technology,1994,"['A Chinese Torture Chamber Story', 'Interview with the Vampire']"
Technology,1995,"['Species', 'Species']"
Technology,1997,"['Alien Resurrection', 'Alien Resurrection', ""The Devil's Advocate"", ""The Devil's Advocate"", 'Scream 2', 'Scream 2', 'I Know What You Did Last Summer', 'I Know What You Did Last Summer', 'Anaconda', 'Anaconda']"
Technology,1998,"['Blade', 'Blade', 'Bride of Chucky', 'Bride of Chucky', 'The Faculty', 'The Faculty']"
Technology,1999,['The Blair Witch Project']
Technology,2000,"['Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3']"
Technology,2002,['28 Days Later']
Technology,2003,"['Final Destination 2', 'Wrong Turn', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre']"
Technology,2004,"['Van Helsing', 'Van Helsing', 'Saw', 'Saw', 'Dawn of the Dead', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead', 'Shaun of the Dead']"
Technology,2006,"['Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'Final Destination 3']"
Technology,2007,"['Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem']"
Technology,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
Terroist Attacks,1972,['The Case of the Bloody Iris']
Terroist Attacks,1980,"['The Shining', 'Friday the 13th', 'Cannibal Holocaust']"
Terroist Attacks,1981,"['Porno', 'The Evil Dead', 'Possession', 'Sadomania', 'An American Werewolf in London']"
Terroist Attacks,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Beautiful Teacher in Torture Hell', 'Daughters of Eve', 'Daughters of Eve']"
Terroist Attacks,1988,"[""Child's Play""]"
Terroist Attacks,1994,"['A Chinese Torture Chamber Story', 'Interview with the Vampire']"
Terroist Attacks,2002,"['28 Days Later', '28 Days Later']"
Terroist Attacks,2003,"['Final Destination 2', 'Final Destination 2', 'Wrong Turn', 'Wrong Turn', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre']"
Terroist Attacks,2004,"['Van Helsing', 'Van Helsing', 'Saw', 'Saw', 'Dawn of the Dead', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead', 'Shaun of the Dead']"
Terroist Attacks,2005,['Constantine']
Terroist Attacks,2006,"['Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'Final Destination 3']"
Terroist Attacks,2007,"['Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem']"
Terroist Attacks,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
Terroist Attacks,2017,"['Alien: Covenant', 'Alien: Covenant', 'Life', 'Life']"
